hotelId,hotelName,hotelUrl,reviewId,source,title,text,positives,negatives,score,ratingText,reviewDate,reviewerName,reviewerCountry,travelerType,roomType,checkInDate,checkOutDate,lengthOfStay,reviewPhotos,ownerResponse_text,ownerResponse_date
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1149287470,Agoda,Above average,All in all good hotel can’t complain but wasn’t the best,,,6,Good,2026-07-20,Tiffany,Australia,Couple,Double Room,2026-07-03,2026-07-07,4,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1148894055,Agoda,"Location is good, room is not very clean","Wish they put more effort into cleaning their rooms. The bed had little hairs all over it and the bathroom was rusty in several areas.
The hair dryer in our room did not work.",,,6.4,Good,2026-07-19,Aurora,United Kingdom,Couple,HYDE PARK CLUB ROOM,2026-07-07,2026-07-08,1,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1147927284,Agoda,Exceptional,Happy staying,,,10,Exceptional,2026-07-18,Rebecca,"Hong Kong SAR, China",Family with teens,Double Room,2026-06-15,2026-06-22,7,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1144970656,Agoda,Solo,"It’s an old building but its fairly neat and clean. The Staff are just the best. They have a safe luggage storage if you’ll arrive early. Breakfast is good. The ac was just not working in my room, but I was too tired to inform them 😅 I slept like a log nonetheless.",,,8,Excellent,2026-07-10,Desiree,Ireland,Solo traveler,HYDE PARK CLUB ROOM,2026-07-07,2026-07-08,1,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1144971714,Agoda,Returning guests - room underground,"As a returning guest for the 4th time, I had requested a nice room for myself and my daughter, we were on the bottom floor (underground) with a view of the Hotel laundry.
The bathroom was very dirty, the shower taps and floor were in an appalling condition.   Booked weeks in advance and paid £*** for 2 nights - very let down and will not be back",,,5.2,Review score,2026-07-10,Claire,United Kingdom,Couple,Twin Room,2026-07-06,2026-07-08,2,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1144039428,Agoda,Seriously needs updating,"The location is great and we didn’t spend too much time in the room, thankfully… I’m guessing it hasn’t been updated since 2010, the tiny TV in the corner was laughable and it felt like going back in time. Every time you went into bed you could hear the springs jingling around in the mattress.
The bathroom floor was so shiny and slippery I’m honestly shocked no one has had a serious accident. The shower and sink had loads of limescale which is not something you want to see when trying to relax on holiday. So glad I didn’t pay full price for the room!",,,6,Good,2026-07-09,Eliza,United Kingdom,Couple,Double Room,2026-07-07,2026-07-10,3,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1143945955,Agoda,Shocking,"Here are the pros and cons of this place:

Con:
1. Very small room. Struggled to open our suitcases
2. Was absolutely shocked to find blood stains on the throw (see image). We complained on the first night and were told that they would deal with it. 2 days later, they gave us the exact same blood stain throw!! I question whether or not the sheets are actually replaced during housekeeping.

Pro:
Great location! Close to the tube stations and restaurants.
Staff were nice.",,,6.8,Good,2026-07-08,pete,South Korea,Couple,Double Room,2026-07-02,2026-07-07,5,https://pix6.agoda.net/generic/a06ade15a4cf7041cb4b60755b787481.jpeg?ce=3,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1067422810,Agoda,Booked wrong dated,"I accidentally book in advance instead of the date I badly wanted cause it was an emergency then we went at midnight in the reception and found out it was wrong date, the staff in the reception were terrible and rude, they KICKED  us out after few minutes hence we are all FEMALE with our luggages and we were waiting outside the door to book another hotel while it was freezing outside. They didnt care about our safety and they dont have any consideration to atleast to give us a time till we leave. They're HEARTLESS I may say. We felt HUMILIATED!!

1 more thing, I tried to contact this AGODA CUSTOMER SERVICE it was stated it was cancelled and waiting to refund but then in my surprise it wasnt cancelled and need to contact different company site?? I ddnt booked this hotel in different APPwhy will i write te here in agoda if i booked in different site?!!!

WORST EXPERIENCE EVER!!

I hope i will get my REFUND!!!!",,,2,Review score,2026-01-15,Joana,Qatar,Group,4-Bed Room,2026-01-14,2026-01-16,2,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1064322983,Agoda,Bad facility &down grade our room,"I & kids have a long flight & tired. When i arrive  at the hotel to check in, the ladies & man frond desk so rude not smile & look at us up & down. I booked trible room. But i get a room with extra bad & no heater or hotel facility like soap in the toilet. Not like the photo when i booked. I & my kids have to sleep in the room with cold temperate with only  portable heater has been given. We have to use glove to sleep bcos is too cold. The price we paid for the room on 31/1/1026 only for 1 night is not cheap expenses but we didnt get that service as promise. This is not acceptable.",,,7.6,Very good,2026-01-05,edlin,Malaysia,Family with young children,Triple Room,2025-12-30,2025-12-31,1,,,
11019,Park Avenue Bayswater Inn Hyde Park,https://www.agoda.com/bayswater-inn-hotel/hotel/london-gb.html,1060051851,Agoda,Location,"Great overniter! Room rather small but had everything required fir a quiet 😴 
Well connected  for travelling  around London...",,,8.8,Excellent,2025-12-19,Barbara,United Kingdom,Couple,Double Room,2025-12-15,2025-12-16,1,,,
